district,district_encoded
Adilabad,0
Agra,1
Ahmedabad,2
Ahmednagar,3
Ajmer,4
Akola,5
Alappuzha,6
Aligarh,7
Allahabad,8
Amarawati,9
Ambala,10
Ambedkarnagar,11
Amreli,12
Amritsar,13
Anand,14
Ariyalur,15
Auraiya,16
Aurangabad,17
Azamgarh,18
Badaun,19
Bagalkot,20
Baghpat,21
Bahraich,22
Ballia,23
Balrampur,24
Banaskanth,25
Banda,26
Bangalore,27
Bankura,28
Banswara,29
Barabanki,30
Baran,31
Bareilly,32
Bargarh,33
Barmer,34
Barnala,35
Barpeta,36
Bastar,37
Basti,38
Beed,39
Belgaum,40
Bellary,41
Bhadrak,42
Bhandara,43
Bharatpur,44
Bharuch,45
Bhatinda,46
Bhavnagar,47
Bhiwani,48
Bidar,49
Bijapur,50
Bijnor,51
Bikaner,52
Bilaspur,53
Birbhum,54
Bokaro,55
Bolangir,56
Boudh,57
Bulandshahar,58
Buldhana,59
Burdwan,60
Burhanpur,61
Chamba,62
Champawat,63
Chamrajnagar,64
Chandrapur,65
Chhindwara,66
Chikmagalur,67
Chitradurga,68
Chitrakut,69
Chittorgarh,70
Churu,71
Coimbatore,72
Coochbehar,73
Cuddalore,74
Cuttack,75
Dahod,76
Dakshin Dinajpur,77
Darjeeling,78
Dausa,79
Davangere,80
Dehradoon,81
Delhi,82
Deogarh,83
Deoria,84
Dewas,85
Dhanbad,86
Dhar,87
Dharmapuri,88
Dharwad,89
Dhemaji,90
Dhenkanal,91
Dhule,92
Dindigul,93
Dindori,94
Durg,95
East Khasi Hills,96
East Singhbhum,97
Ernakulam,98
Erode,99
Etah,100
Etawah,101
Faizabad,102
Faridabad,103
Faridkot,104
Farukhabad,105
Fatehabad,106
Fatehgarh,107
Fatehpur,108
Fazilka,109
Ferozpur,110
Firozabad,111
Gadag,112
Gadchiroli,113
Gandhinagar,114
Ganganagar,115
Ganjam,116
Garhwa,117
Garhwal (Pauri),118
Gautam Budh Nagar,119
Ghaziabad,120
Ghazipur,121
Giridih,122
Godda,123
Gonda,124
Gorakhpur,125
Gulbarga,126
Gumla,127
Gurdaspur,128
Hamirpur,129
Hanumangarh,130
Harda,131
Hardoi,132
Haridwar,133
Hassan,134
Hathras,135
Haveri,136
Hingoli,137
Hooghly,138
Hoshangabad,139
Hoshiarpur,140
Howrah,141
Hyderabad,142
Idukki,143
Indore,144
Jaipur,145
Jajpur,146
Jalana,147
Jalandhar,148
Jalaun (Orai),149
Jalgaon,150
Jalore,151
Jalpaiguri,152
Jamnagar,153
Janjgir,154
Jaunpur,155
Jhalawar,156
Jhansi,157
Jind,158
Jodhpur,159
Junagarh,160
Jyotiba Phule Nagar,161
Kaithal,162
Kamrup,163
Kancheepuram,164
Kangra,165
Kannuj,166
Kannur,167
Kanpur,168
Karaikal,169
Karimnagar,170
Karnal,171
Karwar(Uttar Kannad),172
Kasargod,173
Kendrapara,174
Khammam,175
Khargone,176
Kheda,177
Khiri (Lakhimpur),178
Khowai,179
Koderma,180
Kolar,181
Kolhapur,182
Kolkata,183
Kollam,184
Koppal,185
Kota,186
Kottayam,187
Kozhikode(Calicut),188
Krishnagiri,189
Kullu,190
Kurukshetra,191
Lakhimpur,192
Lalitpur,193
Latur,194
Lohardaga,195
Lucknow,196
Ludhiana,197
Madikeri(Kodagu),198
Madurai,199
Maharajganj,200
Mahasamund,201
Mahbubnagar,202
Mahendragarh-Narnaul,203
Mahoba,204
Mainpuri,205
Malappuram,206
Malda,207
Malkangiri,208
Mandi,209
Mandsaur,210
Mandya,211
Mangalore(Dakshin Kannad),212
Mathura,213
Mau(Maunathbhanjan),214
Mayurbhanja,215
Medak,216
Medinipur(E),217
Medinipur(W),218
Meerut,219
Mehsana,220
Mirzapur,221
Moga,222
Mohali,223
Morbi,224
Muktsar,225
Mumbai,226
Muradabad,227
Murshidabad,228
Muzaffarnagar,229
Mysore,230
Nadia,231
Nagaon,232
Nagpur,233
Nalbari,234
Nalgonda,235
Namakkal,236
Nanded,237
Nanital,238
Nashik,239
Nawanshahr,240
Nayagarh,241
Neemuch,242
Nizamabad,243
North Bastar,244
Nowarangpur,245
Nuapada,246
Osmanabad,247
Padrauna(Kusinagar),248
Pakur,249
Palakad,250
Pali,251
Panchkula,252
Panchmahals,253
Panna,254
Parbhani,255
Patan,256
Pathanamthitta,257
Pathankot,258
Patiala,259
Pillibhit,260
Porbandar,261
Pratapgarh,262
Pune,263
Puruliya,264
Raebarelli,265
Raichur,266
Raigad,267
Rajgarh,268
Rajkot,269
Rajnandgaon,270
Ramanathapuram,271
Rampur,272
Ranchi,273
