market,market_encoded
Abohar,0
Abu Road,1
Achampet,2
Achampet(Amrabad),3
Achnera,4
Adampur,5
Adilabad,6
Agra,7
Ahirora,8
Ahmedabad,9
Ahmedabad(Rajnagar sub yard),10
Ahmedpur,11
Ait,12
Ajaygarh,13
Ajnala,14
Akaltara,15
Akbarpur,16
Akluj,17
Akola,18
Akole,19
Alangeyam,20
Aler,21
Aliganj,22
Aligarh,23
Allahabad,24
Aluva,25
Amadula,26
Amalner,27
Amarawati,28
Ambad (Vadigodri),29
Ambasamudram,30
Ambikapur,31
Ammoor,32
Amrawati(Frui & Veg. Market),33
Amreli,34
Amroha,35
"Anand(Veg,Yard,Anand)",36
Anandnagar,37
Anandpur Sahib,38
Anchal,39
Angamaly,40
Ankleshwar,41
Annigeri,42
Annur,43
Anoop Shahar,44
Anwala,45
Arasikere,46
Ariyalur Market,47
Armoor,48
Armori,49
Aroor,50
Arur,51
Arvi,52
Asandh,53
Asifabad,54
Athagarh,55
Athirampuzha,56
Atmakur,57
Atrauli,58
Attingal,59
Attur,60
Auraiya,61
Awagarh,62
Azadpur,63
Azamgarh,64
Baberu,65
Babrala,66
Bachranwa,67
Badayoun,68
Badda,69
Badnagar,70
Badnawar,71
Badrisadri,72
Bagalakot,73
Bagasara,74
Baghapurana,75
Bagpat,76
Bagru,77
Bahadajholla,78
Bahedi,79
Bahraich,80
Balachaur,81
Balarampur,82
Balasinor,83
Ballabhgarh,84
Ballia,85
Balrampur,86
Balurghat,87
Banda,88
Banga,89
Bangalore,90
Bangarmau,91
Bangarpet,92
Banki,93
Bankura Sadar,94
Banswada,95
Banswara,96
Banur,97
Banur (Kheragaju),98
Bara Bazar (Posta Bazar),99
Barabanki,100
Baran,101
Baraut,102
Bareilly,103
Bargarh(Barapalli),104
Bargur,105
Barhaj,106
Bariwala,107
Barmer,108
Barnala,109
Barshi,110
Baruwasagar,111
Barwala,112
Basava Kalayana,113
Bassi Pathana,114
Basti,115
Batala,116
Baxirhat,117
Beawar,118
Becharaji,119
Beed,120
Bellary,121
Belthangdi,122
Bethuadahari,123
Bewar,124
Bhadrachalam,125
Bhadrak,126
Bhadravathi,127
Bhagta Bhai Ka,128
Bhainsa,129
Bhanjanagar,130
Bhanvad,131
Bharthna,132
Bharuasumerpur,133
Bhavnagar,134
Bheenmal(Ranlwada),135
Bhehjoi,136
Bhiknoor,137
Bhokar,138
Bhongir,139
Bhucho,140
Bhuntar,141
Bidar,142
Bijapur,143
Bijay Nagar,144
Bilaspur,145
Bilga,146
Billsadda,147
Bilsi,148
Bindki,149
"Binny Mill (F&V), Bangalore",150
Birbhum,151
Birkur,152
Birmaharajpur,153
Bishnupur(Bankura),154
Boath,155
Bodeli(Hadod),156
Bodeli(Kalediya),157
Bodeli(Modasar),158
Bodhan,159
Bodinayakkanur,160
Bohorihat,161
Bokaro (Chas),162
Bolangir,163
Bolpur,164
Bonai,165
Boudh,166
Bowenpally,167
Brahmpuri,168
Buland Shahr,169
Burdwan,170
Burgampadu,171
Burhanpur,172
Burhanpur(F&V),173
Byadagi,174
Chaandpur,175
Chakulia,176
Chala,177
Chalisgaon,178
Chamaraj Nagar,179
Chamba,180
Chamkaur Sahib,181
Champa,182
Champadanga,183
Chandausi,184
Chandrapur,185
Chandrapur(Ganjwad),186
Chandur,187
Chandur(Mungodu),188
Channapatana,189
Charama,190
Charla,191
Charra,192
Chathanoor,193
Chatta Krushak Bazar,194
Chengannur,195
Cherial,196
Cherthala,197
Chevella,198
Cheyyar,199
Chhachrauli,200
Chhibramau(Kannuj),201
Chhindwara(F&V),202
Chikkamagalore,203
Chikli(Khorgam),204
Chimur,205
Chinnamanur,206
Chinnasalem,207
Chintamani,208
Chitradurga,209
Chittapur,210
Chittorgarh,211
Chitwadagaon,212
Chityal,213
Chogawan,214
Chopada,215
Choppadandi,216
Chorichora,217
Chotila,218
Choubepur,219
Choutuppal,220
Churu,221
Chutmalpur,222
Coimbatore,223
Coochbehar,224
Cuddalore,225
Cumbum,226
Dadri,227
Dahod,228
Dahod(Veg. Market),229
Dammapet,230
Daryapur,231
Dasuya,232
Dataganj,233
Davangere,234
Davgadbaria(Piplod),235
Deesa,236
Deesa(Bhildi),237
Dehgam,238
Dehgam(Rekhiyal),239
Dehradoon,240
Denkanikottai,241
Deogarh,242
Deoli,243
Deoulgaon Raja,244
Dera Baba Nanak,245
Dera Bassi,246
Devala,247
Devarakonda,248
Devariya,249
Devarkonda(Dindi),250
Devarkonda(Mallepalli),251
Devgadhbaria,252
Dhampur,253
Dhanaula,254
Dhanbad,255
Dhand,256
Dhandhuka,257
Dhanera,258
Dhanura,259
Dharampuri,260
Dhariwal,261
Dharmabad,262
Dharmapuri,263
Dhekiajuli,264
Dhing,265
Dhoraji,266
Dhrol,267
Dhule,268
Dhuri,269
Dindigul,270
Dindori,271
Ding,272
Dinhata,273
Divai,274
Doharighat,275
Dondaicha,276
Doraha,277
Dornakal,278
Dubbak,279
Dungurapalli,280
Durg,281
Egra/contai,282
English Bazar,283
Enkoor,284
Etah,285
Etawah,286
Ettumanoor,287
Faizabad,288
Falakata,289
Faridabad,290
Faridkot,291
Farukhabad,292
Fatehabad,293
Fatehpur,294
Fatehpur Sikri,295
Firozabad,296
Firozepur City,297
"Flower Market,Gazipur",298
Fruit Market,299
Gadag,300
Gadaura,301
Gaddiannaram,302
Gadhwah,303
Gadwal,304
Gandchiroli,305
Gandhari,306
Gangadhara,307
Gangapur,308
Gangapur City,309
Gangapurcity(Old Lal mandi),310
Gangarampur(Dakshin Dinajpur),311
Gangavalli,312
Gangavathi,313
Gangoh,314
Garhakota,315
Gharaunda,316
Ghatal,317
Ghaziabad,318
Ghiraur,319
Giddarbaha,320
Gingee,321
Giridih,322
Godda,323
Gogamba,324
Gogamba(Similiya),325
Gohana,326
Golagokarnath,327
Gollapally,328
Goluwala,329
Gonda,330
Gonikappal,331
Gopa,332
Gopalpatti,333
Gorakhpur,334
Goraya,335
Gosala,336
Gowribidanoor,337
Gudimalkapur,338
Gulabganj,339
Gulavati,340
Gulbarga,341
Gumla,342
Gundlupet,343
Gurdaspur,344
Guskara(Burdwan),345
Haatpipliya,346
Haldaur,347
Haldwani,348
Halia,349
Haliyala,350
Halvad,351
Hamirpur,352
Hamirpur(Nadaun),353
Hanagal,354
Hanumangarh,355
Hanumangarh Town,356
Hanumangarh(Urlivas),357
Hapur,358
Harda(F&V),359
Hardoi,360
Hargaon (Laharpur),361
Harihara,362
Harike,363
Harippad,364
Hasanpur,365
Haveri,366
Himatnagar,367
Hinganghat,368
Hingoli(Kanegoan Naka),369
Hirekerur,370
Holalkere,371
Holenarsipura,372
Honnali,373
Honnavar,374
Hoovinahadagali,375
Hosanagar,376
Hosur,377
Hunsur,378
Huzzurabad,379
Hyderabad (F&V),380
Ichoda,381
Indore(F&V),382
Indravelly(Utnoor),383
Indus(Bankura Sadar),384
Islampur,385
Itarsi,386
Itawa,387
Jafarganj,388
Jagadhri,389
Jagnair,390
Jahanabad,391
Jainath,392
Jainoor,393
Jajpur,394
Jalalabad,395
Jalandhar City(Jalandhar),396
Jalaun,397
Jalgaon,398
Jalgaon(Masawat),399
Jalpaiguri Sadar,400
Jambusar,401
Jambusar(Kaavi),402
Jammikunta,403
Jangaon,404
Jarar,405
Jasdan,406
Jaspur(UC),407
Jasra,408
Jasvantnagar,409
Jaunpur,410
Javer,411
Jayas,412
Jhansi,413
Jodhpur (Grain)(Mandor),414
Jodhpur(Grain)(Bhagat Ki Kothi),415
Jogipet,416
Jowai,417
Jui,418
Jullana,419
Junagadh,420
Junnar(Alephata),421
K.R. Pet,422
Kadhle,423
Kadi,424
Kadi(Kadi cotton Yard),425
Kagaznagar,426
Kairana,427
Kalagategi,428
Kalanaur,429
Kalapipal,430
Kalimpong,431
Kalipur,432
Kallachi,433
Kallakurichi,434
Kallur,435
Kalmeshwar,436
Kalna,437
Kalvan,438
Kalyani,439
Kamakhyanagar,440
Kamalghat,441
Kambainallur,442
Kammarpally,443
Kamthi,444
Kamuthi,445
Kanakapura,446
Kangeyam,447
Kangra,448
Kanjirappally,449
Kannauj,450
Kannur,451
Kanpur(Grain),452
Kantabaji,453
Kapurthala,454
Karaikal,455
Karamadai,456
Karanjia,457
Karimnagar,458
Karsiyang(Matigara),459
Karumanturai,460
Karvi,461
Kashipur,462
Kasimbazar,463
Kathalapur,464
Katol,465
Katra,466
Katwa,467
Kavunthapadi,468
Kayamganj,469
Kayamkulam,470
Kendrapara,471
Kendrapara(Marshaghai),472
Kendupatna,473
Kendupatna(Niali),474
Khair,475
Khairagarh,476
Khalilabad,477
Khambhat(Grain Market),478
Khammam,479
Khanapur,480
Khanpur,481
Kharar,482
Khargone,483
Khariar,484
Khatauli,485
Khatra,486
Khedbrahma,487
Khekda,488
Khujner,489
Khunthabandha,490
Khurja,491
Kicchha,492
Kille Dharur,493
Kinwat,494
Kiratpur,495
Kodad,496
Kodakandal,497
Koderma,498
Kolaghat,499
Kolar,500
Kolathur,501
Kolhapur,502
Kolhapur(Malkapur),503
Kollapur,504
Komakhan,505
Konch,506
Konganapuram,507
Kopaganj,508
Koradacheri,509
Koratla,510
Kosikalan,511
Kot ise Khan,512
Kota,513
Kotadwara,514
Kothagudem,515
Kothamangalam,516
Kotmi,517
Kottakkal,518
Kottarakkara,519
Kottur,520
Krishnagiri,521
Kuber,522
Kudavasal,523
Kudchi,524
Kukshi,525
Kullu,526
Kumbakonam,527
Kumta,528
Kundapura,529
Kurali,530
Kuruppanthura,531
Kuttoor,532
L B Nagar,533
Lakhandur,534
Lakhanpuri,535
Lakhimpur,536
Lakshar,537
Lalganj,538
Lalgarh Jatan,539
Lalitpur,540
Lalru,541
Lalsot,542
Laxmeshwar,543
Loharda,544
Lohardaga,545
Loharu,546
Lohian Khas,547
Lucknow,548
Lunkaransar,549
Machalpur,550
Madathukulam,551
Madhira,552
Madhoganj,553
Madhugiri,554
Madnoor,555
Madurai,556
Mahbubnagar,557
Mahoba,558
Maholi,559
Mahuva(Station Road),560
Maigalganj,561
Mainpuri,562
Majitha,563
Makhu,564
Malegaon(Umarane),565
Malkanagiri,566
Malkangiri(Korakunda),567
Mallial(Cheppial),568
Malout,569
Malur,570
Mandi(Mandi),571
Mandsaur,572
Mandsaur(F&V),573
Mandvi,574
Mandya,575
Mangal Wedha,576
Mangalore,577
Mangrol,578
Manjeri,579
Manmad,580
Mannar,581
Mannargudi,582
Mansa,583
Mansa(Manas Veg Yard),584
Manthani,585
Manvi,586
Mau,587
Mau(Chitrakut),588
Maudaha,589
Medak,590
Medchal,591
Medinipur(West),592
Medipally,593
Meerut,594
Meghraj,595
Meham,596
Mehatpur,597
Mehmadabad,598
Mehrauni,599
Mekhliganj,600
Melur,601
Metpally,602
Mhalingapur,603
Mihipurwa,604
Milak,605
Mirzapur,606
Misrikh,607
Modasa,608
Modasa(Tintoi),609
Mohammdi,610
Mohindergarh,611
Momanbadodiya,612
Moodigere,613
Moth,614
Mothkur,615
Mugrabaadshahpur,616
Mukkom,617
Muktsar,618
Mullana,619
Mumbai,620
Mundaragi,621
Muradabad,622
Muradnagar,623
Murbad,624
Muskara,625
Muzzafarnagar,626
Mysore (Bandipalya),627
Naanpara,628
Nabarangpur(Umerkote),629
Nabha,630
Nadiad,631
Nadiyad(Piplag),632
Nagar,633
Nagarkurnool,634
Nagina,635
Nagod,636
Nagpur,637
Nahan,638
Naila,639
Najibabad,640
Nakrekal,641
Nakud,642
Nalbari,643
Nalgonda,644
Namagiripettai,645
Namakkal,646
Nanjangud,647
Naraingarh,648
Narayankhed,649
Nargunda,650
Narharpur,651
Narnaul,652
Narsampet,653
Narsapur,654
Nasik,655
Nasrullaganj,656
Natham,657
Nautnava,658
Nawan Shahar(Mandi Aur),659
Nawan Shahar(MandiRaho),660
Nawan Shahar(Subzi Mandi),661
Nawarangpur,662
Neeleswaram,663
Neemuch,664
Negamam,665
Nelakondapally,666
Neredcherla,667
"New Grain Market , Panchkula",668
Neyyatinkara,669
Nidamanoor,670
Nihal Singh Wala,671
Nirmal,672
Nissing,673
Nizar,674
Noida,675
Noor Mehal,676
Omalur,677
Orathanadu,678
P.O. Uparhali Guwahati,679
Pachora,680
Pachora(Bhadgaon),681
Padampur,682
Pakur,683
Pala,684
Palakkad,685
Palakode,686
Palam,687
Palani,688
Palanpur,689
Palayam,690
Palghar,691
Pali,692
Paliakala,693
Palladam,694
Pallipattu,695
Palus,696
Panchkul(Kalka),697
Panchpedwa,698
Pandharpur,699
Panposh,700
Paonta Sahib,701
Papparapatti,702
Pappireddipatti,703
Paranda,704
Parappanangadi,705
Parassala,706
Parbhani,707
Parner,708
Parshiwani,709
Partaval,710
Patan,711
Pathankot,712
Patiala,713
Pattambi,714
Pattamundai,715
Patti,716
Pattukottai,717
Pavani,718
Payagpur,719
Pehowa,720
Pennagaram,721
Perambra,722
Perumbavoor,723
Pethappampatti,724
Phillaur,725
Phillaur(Apra Mandi),726
Pilibhit,727
Pimpalgaon,728
Pimpalgaon Baswant(Saykheda),729
Pipar City,730
Pipli,731
Piriya Pattana,732
Pochampalli,733
Pongalur,734
Poonthottam,735
Porbandar,736
