id,state,apmc,commodity,min_price,modal_price,max_price,commodity_arrivals,commodity_traded,created_at,status,Commodity_Uom
28211049,ODISHA,SAKHIGOPAL,COCONUT,8,8,22,103600,103600,2024-11-27,1,Nos
28206539,HARYANA,RATIA,PADDY-BASMATI1509,2251,2851,3555,1282,59184,2024-11-27,1,Qui
28205471,HARYANA,JULANA,PADDY-BASMATI1121,2250,4250,4370,2781,44585,2024-11-27,1,Qui
28207038,HARYANA,SIRSA,PADDY-DUPLICATE BASMATI,2685,3050,3585,44089,44089,2024-11-27,1,Qui
28206924,HARYANA,SAFIDON,PADDY-DUPLICATE BASMATI,2800,3200,4021,5995,37877,2024-11-27,1,Qui
28213852,RAJASTHAN,KOTA,PADDY,2132,3301,3946,61278,37165,2024-11-27,1,Qui
28215078,RAJASTHAN,SRI DUNGARGARH,GROUND NUT,2748,4857,5874,2241,33272,2024-11-27,1,Qui
28204081,HARYANA,BARWALA HISAR,PADDY-BASMATI1121,2000,4251,4301,25171,31344,2024-11-27,1,Qui
28215499,RAJASTHAN,UDAIPUR F AND V,COCONUT,15,23,30,9800,25450,2024-11-27,1,Nos
28205777,HARYANA,MEHAM APMC,PADDY-BASMATI1121,2500,3271,4311,5839,20556,2024-11-27,1,Qui
28205441,HARYANA,JIND,PADDY-BASMATI1121,3000,3965,4250,20660,19569,2024-11-27,1,Qui
28206912,HARYANA,SAFIDON,PADDY-BASMATI1121,2812,4320,4385,7291,17761,2024-11-27,1,Qui
28206407,HARYANA,PILLUKHERA,PADDY-BASMATI1121,2600,3800,4400,10334,17590,2024-11-27,1,Qui
28204882,HARYANA,GANAUR,PADDY-BASMATI1121,2501,4201,4371,4134,16420,2024-11-27,1,Qui
28206536,HARYANA,RANIA,PADDY-DUPLICATE BASMATI,2825,3325,3800,18600,15305,2024-11-27,1,Qui
28209150,MAHARASHTRA,ACHALPUR,MAIZE,1900,2000,2070,1747,15117,2024-11-27,1,Qui
28204680,HARYANA,ELLANABAD,PADDY-DUPLICATE BASMATI,2421,3441,3811,5560,14242,2024-11-27,1,Qui
28206612,HARYANA,ROHTAK,PADDY-BASMATI1121,1581,4231,8141,14799,13628,2024-11-27,1,Qui
28205612,HARYANA,KHARKHODA,PADDY-BASMATI1121,2501,4301,4351,0,13251,2024-11-27,1,Qui
28207352,HARYANA,SONEPAT,PADDY-BASMATI1121,2581,3801,4331,1904,10611,2024-11-27,1,Qui
28216099,TAMIL NADU,PALANI,COCONUT,6,6,6,10000,10000,2024-11-27,1,Nos
28206936,HARYANA,SAMALKHA,PADDY-BASMATI1121,2501,3851,5651,6989,9894,2024-11-27,1,Qui
28210246,ODISHA,GUNUPUR,COTTON,6400,6400,6400,9560,9560,2024-11-27,1,Qui
28211176,PUNJAB,GIDDERBAHA,PADDY-BASMATI1121,2650,3350,3615,10888,8698,2024-11-27,1,Qui
28205833,HARYANA,MOHNA,PADDY-BASMATI1121,2401,3771,4292,2370,8670,2024-11-27,1,Qui
28206540,HARYANA,RATIA,PADDY-DUPLICATE BASMATI,2591,3135,3361,16755,8568,2024-11-27,1,Qui
28203928,GUJARAT,SANAND,PADDY 6444,1550,1900,12850,8038,8038,2024-11-27,1,Qui
28216770,TELANGANA,NARAYANPET,PADDY-SONA,1505,2570,2777,5943,7958,2024-11-27,1,Qui
28208798,MADHYA PRADESH,JABALPUR,MAIZE,1800,2270,2315,6792,7862,2024-11-27,1,Qui
28213022,RAJASTHAN,HANUMANGARH TOWN,PADDY,1821,3011,3750,7807,7807,2024-11-27,1,Qui
28206065,HARYANA,PAI APMC,PADDY-BASMATI ,4400,5650,5700,780,7779,2024-11-27,1,Qui
28207562,HARYANA,TARAORI,PADDY-BASMATI1121,2251,3440,5799,3115,7739,2024-11-27,1,Qui
28216226,TAMIL NADU,T VADIPATTI,COCONUT WITH HUSK,4,17,20,7700,7700,2024-11-27,1,Nos
28212557,RAJASTHAN,CHOMU GRAIN,GROUND NUT,4215,5000,9300,1301,7683,2024-11-27,1,Qui
28216915,TELANGANA,SURYAPETA,PADDY-JAI SRIRAM,1469,2959,3041,7956,7490,2024-11-27,1,Qui
28208884,MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-DHAMNOD,MAIZE,2055,2200,2381,6858,6858,2024-11-27,1,Qui
28207853,HARYANA,UCHANA,PADDY-BASMATI1121,2300,3800,4261,4343,6716,2024-11-27,1,Qui
28211135,PUNJAB,AMRITSAR,PADDY-BASMATI1509,2652,2799,2890,11526,6465,2024-11-27,1,Qui
28214184,RAJASTHAN,MERTA CITY,GUAR SEEDS,4560,4750,4890,8105,6333,2024-11-27,1,Qui
28209623,MAHARASHTRA,UDGIR,SOYA-YELLOW,4130,4130,4130,6326,6326,2024-11-27,1,Qui
28211697,RAJASTHAN,BARAN,PADDY,2080,2736,3300,0,6225,2024-11-27,1,Qui
28211244,PUNJAB,SANGRUR,PADDY-DUPLICATE BASMATI,2400,2800,3700,4000,6130,2024-11-27,1,Qui
28216903,TELANGANA,SURYAPETA,PADDY-BPT,1659,2266,3249,6203,5823,2024-11-27,1,Qui
28207568,HARYANA,TARAORI,PADDY-BASMATI1509,2251,2251,5699,1585,5753,2024-11-27,1,Qui
28211199,PUNJAB,MAUR,PADDY-BASMATI1121,2570,3280,3440,3038,5639,2024-11-27,1,Qui
